sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
KBL7,231573,-0.03297974859330438,-0.028270149092908505,-0.03673328871336343,0.0005900269950034152,0.0008126888617152401,0.006803588263738691,0.004636409971439097,-0.0016958778506157483,-0.004843984357509895,0.009811385656525836,-0.010124150753317697,-0.003163673165300537,0.0013193425144316488,-0.004735715133925814,0.0029231062959966785,-0.002561051550626572,0.0024073729392473475,0.002482596550542849,-0.00043075788583401983,5.953629688422495e-05,-0.00021014316829645664,0.00014538291128109377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR1,231574,-0.02496468610742243,0.004560271605760063,0.008489809412719661,0.014199088846553761,0.01632778488618145,0.0019063101308839866,-0.006564315616048586,0.001269350979223106,-0.0002846296401900017,0.0028569668108452593,0.000830281390687947,0.001562335596264995,0.003195944481197647,0.0032479719025510245,-0.0018079246982958238,-0.0004271621892238649,-0.000525119052790827,0.005552086939967302,0.005382828104211995,0.00021257691421514854,-0.0017114665094484813,7.415275118445006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR2,231575,-0.026734227869467542,0.004875873493470069,0.009976155727282362,0.01741822548795598,0.018083890597237272,0.000660180227139356,-0.007911264736708095,-0.0017198535144875935,0.00020772782216705492,0.0007299676925131737,-0.003864975124623095,0.003723321678437892,0.000341949454622683,0.0029396370511320796,0.002472906794342753,0.0010746769536729697,-0.002119491120842896,0.0002571304097206215,-0.003050675587607561,0.0034510950496345057,0.0005145950310813818,8.418703343717441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR3,231576,-0.02674076662400572,0.004636193680162885,0.009384705993887585,0.017266371694983015,0.01758275932368998,0.00030274189925418195,-0.010740734636123517,-0.000878191314687635,0.0042226797684735825,0.003505035784571516,-0.0006526539211402123,0.003801105601168973,0.0028027477233999107,0.0001457517920317308,0.0026327297236795185,-0.004727785027615679,0.0004672686701464904,-0.002861700544621054,0.0019555817775743795,-0.0017488454581298732,0.0013833561904305113,-9.555031974768039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR4,231577,-0.019748890393341205,0.0026438815762680062,0.004520084037571938,0.007728604822219145,0.010348274794045804,0.0004646428607766194,-0.0029521930991807358,0.0003762451336771825,0.0005290750094006123,-0.003082759725620931,0.002775351774338052,-0.0024988651130925955,0.002085054083176907,-0.0057759290787497905,-0.0014672258557856931,-0.0007740474551797262,0.004965595846820436,-0.0009866392533617126,-0.0002312769755644767,-0.0031868055993034615,-0.0013332174267805712,-1.9376633913669355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR5,231578,-0.02572838086192744,0.005161494583007547,0.009614034939105396,0.010735178220411567,0.015678146243712224,-8.863412651260797e-06,-0.006874548354370103,0.002766611324172139,0.003919213528497602,0.0006305773659624883,-0.0011577845014781527,-0.0046819530761792036,-0.0061009498779705925,-0.007421660756536635,-0.0028641406421525285,-0.0015316452057001343,-0.00023997568823609395,-0.0037385009560488808,-0.0012996677063047775,0.0009843958218127109,0.0009166548986217193,-5.060672824247552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR6,231579,-0.019950976222572376,0.002586886894331798,0.0036732997090850703,0.009293902891725167,0.007562662016003196,0.0011302089526382929,0.003677299172534568,-0.00017074475984984647,-0.005917828226514991,-0.007080844710271441,-0.0014803081185274045,0.002974883290621214,0.0018017540613595095,0.007054217424491154,0.0004364507989650203,0.0023173300485868293,0.0060234593410936595,-0.0008703088886809291,-0.0034821933163145693,-0.0014478100354110843,0.0007451820577609122,0.00019239196745720946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBR7,231580,-0.01852768294243819,0.0029988504704570908,0.002952069104511307,0.007758250423221369,0.009781380626506714,0.0004495031610019406,0.0025496903784889115,-0.0020109128753077092,-0.0031918339166080085,-0.002745300175184885,0.0004633208976794416,-0.0019932215921610813,-0.000431131448611867,0.002650360530083852,-0.00047717506359126754,0.006147470439660749,-0.004218551963372509,0.0027759895508082844,-0.002081568089565427,0.0005887879849333482,-0.0019632663957966793,-2.224285245143026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL1,231581,-0.03505994955998223,0.022234969210839915,-0.004245622618476503,-0.018540420255988926,0.004348138437811506,-0.003917821246481389,-0.00616917701468291,-0.0015673850892524955,0.003733986079774084,0.007458539282891095,0.0004299146028939783,-0.00555850388420402,-0.0035779263842869117,-0.0038223414549903656,0.0033969016724413204,0.004283338622486444,-0.0037179178806488592,0.0005619700397933556,-0.0007781382109472384,-0.0010667541803764994,-0.0009829497052022654,0.00014483947501915591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL2,231582,-0.03697092390292666,0.02087072927071882,-0.009536183649176026,-0.02421506714420806,0.0027462693404421757,-0.0033411396827087783,0.0016942012754184545,-0.0029382883675791766,0.00738506532474652,-0.0020978146577927495,-0.003741473045539208,-0.0013797840479371959,-0.006946139094536426,0.009026554252111333,-0.004161045774525723,-0.003192930294079665,0.0022763895604539152,-0.005949277468090204,0.001941900661411546,0.0009435201853881687,-0.001691850927915496,0.00011538135884649337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL3,231583,-0.03653180135874271,0.015560102728678518,0.009596674075139169,-0.019314514906807363,-0.0021891919204984553,0.012242757462797718,0.003983434242317968,-0.005284953299016044,0.005775295904455303,-0.009598895394232476,0.00717061907194095,0.00668424455298965,0.0032380954196858575,-0.007015814225586015,0.0073767640889827275,0.0005971070795090319,0.00047630563178654685,-0.000520623986216735,0.0010170466636536628,0.0011695630422652798,-0.0006658817317807162,0.00015962743280332738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL4,231584,-0.03810861146356559,0.023115471365456153,-0.006999455582663477,-0.024965918786188663,0.006694032015839423,-0.00039476383732949926,3.221132987601055e-05,-0.004438971065230257,0.009085471288475068,-0.0014411116797726081,0.0016891479681848478,-0.0007175738542262818,-0.0015239239301256897,-0.00012652560874112787,-0.0007988577648993658,0.002168584720005637,-0.003803880451442141,0.002100514114751171,-0.001247000597822391,-0.0019147989052681394,0.0018307688007165427,-9.375237406161025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL5,231585,-0.047209109552436755,0.021918859219386147,0.020975051769674576,-0.022476763038402875,0.007903258170983314,0.013901139521467803,0.011693960720993051,0.013083486272512669,-0.015111971950147317,0.0010006976699233419,0.0010620890647918347,-0.003449403349581083,-0.001039255819178762,-8.552376652797365e-05,-0.006045712612838455,0.0011058545243690732,0.001562701151482721,0.0021905023656418944,0.0004089780302552783,-8.69394919356658e-06,0.00088766410610432,-4.707912583886935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBL6,231586,-0.03160232694145557,0.018413067128280256,-0.0077089538691029365,-0.01811691688017896,-0.0025073476183356917,-0.0031322129104179807,0.0019116201131913002,-0.001819851556937779,-0.00784302571600997,3.331715288287513e-05,-0.003761812781924883,0.005071785351792525,0.01213319042042628,-0.0012880982336612645,-0.0046594606780434936,-0.006704109585556879,-0.005518567105268225,-0.00254919313205041,-0.0016607851249019246,-3.828548297680188e-06,-0.0005770398798199727,-2.4459994299417063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
